# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.4

country.icon::9853f173-0c41-4539-b927-ac1d1f2b31a9, string, 800C77686974652062616E6E6572
country.icon::fab92f4e-6f26-4a65-97f6-58261598b436, string, 800C77686974652062616E6E6572
country.last-chunk::8888f8b8-222a-3467-89bb-29f1aa0bce88, string, 800D76327C776F726C647C317C3331
country.last-chunk::30117ceb-db68-3c7e-8ee3-5b696de4040d, string, 800D76327C776F726C647C337C3331
country.last-chunk::30848de2-f6d9-31f2-82b0-fe190805a709, string, 800D76327C776F726C647C327C3331
country.last-chunk::85526c51-87f3-30a3-8664-ccb99fdce0a6, string, 800E76327C776F726C647C2D317C3332
country.last-territory-state::8888f8b8-222a-3467-89bb-29f1aa0bce88, string, 80076E65757472616C
country.last-territory-state::30117ceb-db68-3c7e-8ee3-5b696de4040d, string, 80076E65757472616C
country.last-territory-state::30848de2-f6d9-31f2-82b0-fe190805a709, string, 80076E65757472616C
country.last-territory-state::85526c51-87f3-30a3-8664-ccb99fdce0a6, string, 80076E65757472616C
country.member::9853f173-0c41-4539-b927-ac1d1f2b31a9::8888f8b8-222a-3467-89bb-29f1aa0bce88, boolean, 01
country.member::fab92f4e-6f26-4a65-97f6-58261598b436::e0d26be5-011f-3438-8d20-e4ab70c5a889, boolean, 01
country.member::fab92f4e-6f26-4a65-97f6-58261598b436::e06993dd-33c0-347d-afe6-b423e6651b4b, boolean, 01
country.member-name::9853f173-0c41-4539-b927-ac1d1f2b31a9::8888f8b8-222a-3467-89bb-29f1aa0bce88, textcomponent, 81046A736F6E20800A2244616E696C63787A22
country.member-name::fab92f4e-6f26-4a65-97f6-58261598b436::e0d26be5-011f-3438-8d20-e4ab70c5a889, textcomponent, 81046A736F6E20800B2253574147413232383922
country.member-name::fab92f4e-6f26-4a65-97f6-58261598b436::e06993dd-33c0-347d-afe6-b423e6651b4b, textcomponent, 81046A736F6E20800922416D676552656422
country.menu-country::30117ceb-db68-3c7e-8ee3-5b696de4040d::10, string, 802439383533663137332D306334312D343533392D623932372D616331643166326233316139
country.menu-country::30117ceb-db68-3c7e-8ee3-5b696de4040d::11, string, 802466616239326634652D366632362D346136352D393766362D353832363135393862343336
country.menu-member::30117ceb-db68-3c7e-8ee3-5b696de4040d::10, string, 802433303131376365622D646236382D336337652D386565332D356236393664653430343064
country.menu-role::30117ceb-db68-3c7e-8ee3-5b696de4040d::10, string, 802434343566323663302D343036632D343032352D393931632D356138666132663032353137
country.menu-role::30117ceb-db68-3c7e-8ee3-5b696de4040d::11, string, 8007636974697A656E
country.name::9853f173-0c41-4539-b927-ac1d1f2b31a9, string, 8010D09FD0B8D0B2D0BED0B3D180D0B0D0B4
country.name::fab92f4e-6f26-4a65-97f6-58261598b436, string, 800ED093D180D0B0D0B4D0B8D0BED0BD
country.name-id::градион, string, 802466616239326634652D366632362D346136352D393766362D353832363135393862343336
country.name-id::пивоград, string, 802439383533663137332D306334312D343533392D623932372D616331643166326233316139
country.owner::9853f173-0c41-4539-b927-ac1d1f2b31a9, string, 802438383838663862382D323232612D333436372D383962622D323966316161306263653838
country.owner::fab92f4e-6f26-4a65-97f6-58261598b436, string, 802465303639393364642D333363302D333437642D616665362D623432336536363531623462
country.picker-context::30117ceb-db68-3c7e-8ee3-5b696de4040d, string, 8004726F6C65
country.player::8888f8b8-222a-3467-89bb-29f1aa0bce88, string, 802439383533663137332D306334312D343533392D623932372D616331643166326233316139
country.player::e0d26be5-011f-3438-8d20-e4ab70c5a889, string, 802466616239326634652D366632362D346136352D393766362D353832363135393862343336
country.player::e06993dd-33c0-347d-afe6-b423e6651b4b, string, 802466616239326634652D366632362D346136352D393766362D353832363135393862343336
country.role-color::9853f173-0c41-4539-b927-ac1d1f2b31a9::citizen, string, 80073C77686974653E
country.role-color::fab92f4e-6f26-4a65-97f6-58261598b436::citizen, string, 80073C77686974653E
country.role-icon::9853f173-0c41-4539-b927-ac1d1f2b31a9::citizen, string, 80057061706572
country.role-icon::fab92f4e-6f26-4a65-97f6-58261598b436::citizen, string, 80057061706572
country.role-name::9853f173-0c41-4539-b927-ac1d1f2b31a9::citizen, string, 8012D093D180D0B0D0B6D0B4D0B0D0BDD0B8D0BD
country.role-name::fab92f4e-6f26-4a65-97f6-58261598b436::citizen, string, 8012D093D180D0B0D0B6D0B4D0B0D0BDD0B8D0BD
country.role-of::9853f173-0c41-4539-b927-ac1d1f2b31a9::8888f8b8-222a-3467-89bb-29f1aa0bce88, string, 80056F776E6572
country.role-of::fab92f4e-6f26-4a65-97f6-58261598b436::e0d26be5-011f-3438-8d20-e4ab70c5a889, string, 8007636974697A656E
country.role-of::fab92f4e-6f26-4a65-97f6-58261598b436::e06993dd-33c0-347d-afe6-b423e6651b4b, string, 80056F776E6572
country.role-perm::9853f173-0c41-4539-b927-ac1d1f2b31a9::citizen::build, boolean, 01
country.role-perm::9853f173-0c41-4539-b927-ac1d1f2b31a9::citizen::interact, boolean, 01
country.role-perm::fab92f4e-6f26-4a65-97f6-58261598b436::citizen::build, boolean, 01
country.role-perm::fab92f4e-6f26-4a65-97f6-58261598b436::citizen::interact, boolean, 01
country.selected-member::30117ceb-db68-3c7e-8ee3-5b696de4040d, string, 802465303639393364642D333363302D333437642D616665362D623432336536363531623462
country.selected-role::30117ceb-db68-3c7e-8ee3-5b696de4040d, string, 802434343566323663302D343036632D343032352D393931632D356138666132663032353137
country.tax-next::9853f173-0c41-4539-b927-ac1d1f2b31a9, date, 810974696D657374616D7004000001A071A37D66
country.tax-next::fab92f4e-6f26-4a65-97f6-58261598b436, date, 810974696D657374616D7004000001A0620E0F30
country.tax-per-chunk, long, 000000000000000F
country.treasury::9853f173-0c41-4539-b927-ac1d1f2b31a9, long, 0000000000000000
country.treasury::fab92f4e-6f26-4a65-97f6-58261598b436, double, C046800000000000
cum.cooldown.8888f8b8-222a-3467-89bb-29f1aa0bce88, date, 810974696D657374616D7004000001A05CE3DB76
cum.cooldown.e06993dd-33c0-347d-afe6-b423e6651b4b, date, 810974696D657374616D7004000001A05CFED4C5
economy.balance::19d79768-c1aa-3d0f-9528-93125a583183, long, 000000000000010E
economy.balance::19fc191d-1b85-3cde-8631-aa9d5c2dd2f4, long, 000000000000010E
economy.balance::8888f8b8-222a-3467-89bb-29f1aa0bce88, double, 4079A00000000000
economy.balance::30117ceb-db68-3c7e-8ee3-5b696de4040d, double, 4083B00000000000
economy.balance::30848de2-f6d9-31f2-82b0-fe190805a709, long, 00000000000000C8
economy.balance::85526c51-87f3-30a3-8664-ccb99fdce0a6, long, 0000000000000172
economy.balance::e0d26be5-011f-3438-8d20-e4ab70c5a889, long, 00000000000001D8
economy.balance::e06993dd-33c0-347d-afe6-b423e6651b4b, double, 4086F80000000000
godtrident.019dffab-847f-4189-ab41-12c1ec1e1ea7, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.047b65c4-f297-4ab4-a013-037e3fec2ace, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.062ef56e-32a5-454b-85a3-053690753c9b, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.1034a0c6-adfb-41d1-afe5-67b43c8198cc, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.1272fab2-8730-4a40-8ec9-98270f839b80, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.13bbddb1-998a-499a-9768-b87a54451f3c, uuid, 820B6D6F73747369676269747304E06993DD33C0347D0C6C656173747369676269747304AFE6B423E6651B4B
godtrident.1ad28ba7-db26-48b0-b4bc-3bb966dd0f4a, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.1d20782f-fc35-4e1b-86b8-6909c7384ab5, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.23d18ad5-6201-448e-b2ae-c685c8ba5501, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.2768b276-190f-49d6-92ea-51d1ee70c8ba, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.3bb5db16-ed0e-44e7-a857-61b3e5353129, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.44eaa10f-27b4-4ef7-9282-51e182261dd9, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.44f9f8d6-40d2-4074-8c40-2a8ca20a8869, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.4523efb8-9202-4d1b-892a-b44d870327ce, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.475f47f1-48c6-4284-89d7-4bfa7018de3d, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.4b8ab9d7-cbd2-4209-bc3c-2d1479ad3446, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.52d27dd7-7099-4df2-9390-c2b1325ff4ee, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.584e345f-b631-4def-a001-b5bac738772f, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.5a5d4c61-0f28-40c3-ba40-4d1cb85482a2, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.5ab57243-891c-424b-8c13-543c0acc9973, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.5c667e0a-cba2-4930-9ea0-548926b74199, uuid, 820B6D6F73747369676269747304E06993DD33C0347D0C6C656173747369676269747304AFE6B423E6651B4B
godtrident.6582fa38-1e7d-4511-95f8-48925850c89e, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.73180b28-0fe7-4c81-8820-bc372307802a, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.77d2aa73-57b4-4553-b392-2288869b574d, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.7aaf999a-7172-4a31-85bc-de1a6d6c0809, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.82150f07-4e17-45e3-a919-bd79e793308a, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.85724e89-7a5f-4715-bac4-13481700a16b, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.8572f05b-23b9-4f6c-a0cf-6e5fbc9329ae, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.884b2cb4-2278-4b48-8271-674f70a6e18c, uuid, 820B6D6F73747369676269747304E06993DD33C0347D0C6C656173747369676269747304AFE6B423E6651B4B
godtrident.8b298106-21b4-4993-b5b7-f1656e13bd22, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.8b96ddd9-0137-42c9-a812-b402606486c0, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.8e2b2f91-cfcc-4295-92ce-ed53f8ac86d2, uuid, 820B6D6F73747369676269747304E06993DD33C0347D0C6C656173747369676269747304AFE6B423E6651B4B
godtrident.92b15f7b-e2d1-4860-9666-9404000e3a4e, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.96f56fd6-e7cb-4ad8-87d4-fb8ba3f66e5a, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.9ed6bc2f-95ca-4b54-b868-5c7662458899, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.a0eebaed-5db3-4d36-800a-3a64326db18f, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.a555d906-67ef-43ff-94eb-4d2faeffa6b3, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.a9760ea8-72da-401f-8560-4e69716f887c, uuid, 820B6D6F73747369676269747304E06993DD33C0347D0C6C656173747369676269747304AFE6B423E6651B4B
godtrident.b3925799-cbdd-44aa-b758-8af112bf463d, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.b53421e5-5c88-48f3-b4dd-528bb8268abd, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.b6bb5e88-86e7-48ce-985c-1a2112efb0bd, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.bc7781fb-4b07-41ca-a1ba-b2f57da23ac4, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.be0fe802-df8e-45a9-92ca-ec1c1e7dfae8, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.be8cc71f-0137-47cd-889d-595d4a3b8dde, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.c2f54c42-d870-45f6-b3a4-e4f4ffe6f66a, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.c54e14cb-f877-4e59-8143-2277d8efd118, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.ccc24d1f-5960-444e-baa2-b8fc6d8bed47, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.d3dbd181-6668-4211-9996-0aa4c29740ea, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.d901b22b-77fb-4706-8236-8b74a82c3060, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.e744b42b-efb1-4975-ada4-f2e89ed87963, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.e8edb2db-9334-4aee-a912-703835b8cf75, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.e93b4e8a-d841-4b9b-bbd5-ba2ee202a1b8, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.ea011dcf-3f30-4c0f-a03d-b68589bb4bbe, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.eb0e0f9c-cbcd-4b1f-82de-c7b8fd1ed137, uuid, 820B6D6F737473696762697473048888F8B8222A34670C6C65617374736967626974730489BB29F1AA0BCE88
godtrident.ee334b2c-6cf4-4536-8541-abca17e30987, uuid, 820B6D6F73747369676269747304E06993DD33C0347D0C6C656173747369676269747304AFE6B423E6651B4B
godtrident.mode.019dffab-847f-4189-ab41-12c1ec1e1ea7, long, 0000000000000003
godtrident.mode.047b65c4-f297-4ab4-a013-037e3fec2ace, long, 0000000000000003
godtrident.mode.062ef56e-32a5-454b-85a3-053690753c9b, long, 0000000000000003
godtrident.mode.1034a0c6-adfb-41d1-afe5-67b43c8198cc, long, 0000000000000002
godtrident.mode.1272fab2-8730-4a40-8ec9-98270f839b80, long, 0000000000000001
godtrident.mode.13bbddb1-998a-499a-9768-b87a54451f3c, long, 0000000000000002
godtrident.mode.1ad28ba7-db26-48b0-b4bc-3bb966dd0f4a, long, 0000000000000001
godtrident.mode.1d20782f-fc35-4e1b-86b8-6909c7384ab5, long, 0000000000000003
godtrident.mode.23d18ad5-6201-448e-b2ae-c685c8ba5501, long, 0000000000000001
godtrident.mode.2768b276-190f-49d6-92ea-51d1ee70c8ba, long, 0000000000000003
godtrident.mode.3bb5db16-ed0e-44e7-a857-61b3e5353129, long, 0000000000000003
godtrident.mode.44eaa10f-27b4-4ef7-9282-51e182261dd9, long, 0000000000000001
godtrident.mode.44f9f8d6-40d2-4074-8c40-2a8ca20a8869, long, 0000000000000003
godtrident.mode.4523efb8-9202-4d1b-892a-b44d870327ce, long, 0000000000000003
godtrident.mode.475f47f1-48c6-4284-89d7-4bfa7018de3d, long, 0000000000000001
godtrident.mode.4b8ab9d7-cbd2-4209-bc3c-2d1479ad3446, long, 0000000000000001
godtrident.mode.52d27dd7-7099-4df2-9390-c2b1325ff4ee, long, 0000000000000002
godtrident.mode.584e345f-b631-4def-a001-b5bac738772f, long, 0000000000000003
godtrident.mode.5a5d4c61-0f28-40c3-ba40-4d1cb85482a2, long, 0000000000000002
godtrident.mode.5ab57243-891c-424b-8c13-543c0acc9973, long, 0000000000000002
godtrident.mode.5c667e0a-cba2-4930-9ea0-548926b74199, long, 0000000000000001
godtrident.mode.6582fa38-1e7d-4511-95f8-48925850c89e, long, 0000000000000003
godtrident.mode.73180b28-0fe7-4c81-8820-bc372307802a, long, 0000000000000003
godtrident.mode.77d2aa73-57b4-4553-b392-2288869b574d, long, 0000000000000003
godtrident.mode.7aaf999a-7172-4a31-85bc-de1a6d6c0809, long, 0000000000000003
godtrident.mode.82150f07-4e17-45e3-a919-bd79e793308a, long, 0000000000000003
godtrident.mode.85724e89-7a5f-4715-bac4-13481700a16b, long, 0000000000000003
godtrident.mode.8572f05b-23b9-4f6c-a0cf-6e5fbc9329ae, long, 0000000000000003
godtrident.mode.884b2cb4-2278-4b48-8271-674f70a6e18c, long, 0000000000000002
godtrident.mode.8b298106-21b4-4993-b5b7-f1656e13bd22, long, 0000000000000002
godtrident.mode.8b96ddd9-0137-42c9-a812-b402606486c0, long, 0000000000000003
godtrident.mode.8e2b2f91-cfcc-4295-92ce-ed53f8ac86d2, long, 0000000000000002
godtrident.mode.92b15f7b-e2d1-4860-9666-9404000e3a4e, long, 0000000000000003
godtrident.mode.96f56fd6-e7cb-4ad8-87d4-fb8ba3f66e5a, long, 0000000000000003
godtrident.mode.9ed6bc2f-95ca-4b54-b868-5c7662458899, long, 0000000000000001
godtrident.mode.a0eebaed-5db3-4d36-800a-3a64326db18f, long, 0000000000000002
godtrident.mode.a555d906-67ef-43ff-94eb-4d2faeffa6b3, long, 0000000000000002
godtrident.mode.a9760ea8-72da-401f-8560-4e69716f887c, long, 0000000000000001
godtrident.mode.b3925799-cbdd-44aa-b758-8af112bf463d, long, 0000000000000003
godtrident.mode.b53421e5-5c88-48f3-b4dd-528bb8268abd, long, 0000000000000001
godtrident.mode.b6bb5e88-86e7-48ce-985c-1a2112efb0bd, long, 0000000000000002
godtrident.mode.bc7781fb-4b07-41ca-a1ba-b2f57da23ac4, long, 0000000000000002
godtrident.mode.be0fe802-df8e-45a9-92ca-ec1c1e7dfae8, long, 0000000000000002
godtrident.mode.be8cc71f-0137-47cd-889d-595d4a3b8dde, long, 0000000000000002
godtrident.mode.c2f54c42-d870-45f6-b3a4-e4f4ffe6f66a, long, 0000000000000003
godtrident.mode.c54e14cb-f877-4e59-8143-2277d8efd118, long, 0000000000000003
godtrident.mode.ccc24d1f-5960-444e-baa2-b8fc6d8bed47, long, 0000000000000002
godtrident.mode.d3dbd181-6668-4211-9996-0aa4c29740ea, long, 0000000000000001
godtrident.mode.d901b22b-77fb-4706-8236-8b74a82c3060, long, 0000000000000003
godtrident.mode.e744b42b-efb1-4975-ada4-f2e89ed87963, long, 0000000000000001
godtrident.mode.e8edb2db-9334-4aee-a912-703835b8cf75, long, 0000000000000003
godtrident.mode.e93b4e8a-d841-4b9b-bbd5-ba2ee202a1b8, long, 0000000000000002
godtrident.mode.ea011dcf-3f30-4c0f-a03d-b68589bb4bbe, long, 0000000000000001
godtrident.mode.eb0e0f9c-cbcd-4b1f-82de-c7b8fd1ed137, long, 0000000000000003
godtrident.mode.ee334b2c-6cf4-4536-8541-abca17e30987, long, 0000000000000002
golden_shower.cooldown.e06993dd-33c0-347d-afe6-b423e6651b4b, date, 810974696D657374616D7004000001A05CFEF11E
gun.ammo::8888f8b8-222a-3467-89bb-29f1aa0bce88::mg, long, 0000000000000063
gun.ammo::8888f8b8-222a-3467-89bb-29f1aa0bce88::rifle, long, 000000000000001A
gun.ammo::e0d26be5-011f-3438-8d20-e4ab70c5a889::mg, long, 000000000000005B
gun.ammo::e06993dd-33c0-347d-afe6-b423e6651b4b::mg, long, 0000000000000060
gun.ammo::e06993dd-33c0-347d-afe6-b423e6651b4b::pistol, long, 0000000000000004
gun.ammo::e06993dd-33c0-347d-afe6-b423e6651b4b::super, long, 000000000000005A
gun.next_shot::8888f8b8-222a-3467-89bb-29f1aa0bce88, date, 810974696D657374616D7004000001A0543D11E3
gun.next_shot::e0d26be5-011f-3438-8d20-e4ab70c5a889, date, 810974696D657374616D7004000001A054D85665
gun.next_shot::e06993dd-33c0-347d-afe6-b423e6651b4b, date, 810974696D657374616D7004000001A068531674
gun.proj_hit::1b1365c5-e9e0-4850-aad6-b48823c9e141, boolean, 00
gun.proj_hit::1f4c9d2e-ef7a-49a9-bfb5-59e7fd812e4b, boolean, 00
gun.proj_hit::2c9a4be8-a295-491f-b268-112e8c1947c1, boolean, 00
gun.proj_hit::2edfca8e-632d-476a-a9cb-91f2b5e80a37, boolean, 00
gun.proj_hit::3a8f5c7c-3b50-417e-acd8-cdcf8b8f0b4c, boolean, 00
gun.proj_hit::3fac0163-8140-467a-85c8-3222ff7b06e4, boolean, 00
gun.proj_hit::4a438ec2-0be8-431c-a9f4-300640edb36f, boolean, 00
gun.proj_hit::5af90a05-e012-465b-af83-4412a1b5d32f, boolean, 00
gun.proj_hit::5c7a228a-8238-4730-9539-376abbd76f84, boolean, 00
gun.proj_hit::5cb73881-a0af-4473-90e1-9b942beb22d9, boolean, 00
gun.proj_hit::5e5c37a4-23b9-4e48-90be-a1e6c10044f9, boolean, 00
gun.proj_hit::6c7ac7c4-91d3-4419-bc54-17c741dd6292, boolean, 00
gun.proj_hit::6dd69dd8-0082-4cc5-bd35-d6aeb9743727, boolean, 00
gun.proj_hit::6e9bde48-b9bd-4510-92f0-fde67c0d1603, boolean, 00
gun.proj_hit::6ecd15f0-630c-4759-b3eb-f30e11acb2af, boolean, 00
gun.proj_hit::6f6734ef-838d-4184-9fb9-9e77ce2541a3, boolean, 00
gun.proj_hit::7d29a64f-92cf-499b-83f4-8ccf24191121, boolean, 00
